'time', 'CO2'
2726.26, 4.819104
2726.76, 4.990999
2727.26, 5.084721
2727.76, 5.017857
2728.26, 5.010266
2728.76, 5.110563
2729.26, 5.103466
2729.76, 4.973516
2730.26, 5.176322
2730.76, 5.214519
2731.26, 5.160128
2731.76, 5.242545
2732.26, 5.228593
2732.76, 5.133056
2733.26, 5.230927
2733.76, 5.242913
2734.26, 5.373109
2734.76, 5.279170
2735.26, 5.292353
2735.76, 5.570847
2736.26, 5.822176
2736.76, 5.827890
2737.26, 5.901394
2737.76, 5.998742
2738.26, 6.015458
2738.76, 6.135822
2739.26, 6.054668
2739.76, 6.058353
2740.26, 6.182251
2740.76, 6.161971
2741.26, 6.131858
2741.75, 6.153949
2742.26, 6.161510
2742.76, 6.198169
2743.26, 6.228989
2743.76, 6.234367
2744.26, 6.234153
2744.76, 6.229390
2745.26, 6.305994
2745.76, 6.196265
2746.26, 6.209968
2746.76, 6.269645
2747.26, 6.340749
2747.76, 6.341025
2748.26, 6.323234
2748.76, 6.354760
2749.26, 6.232769
2749.76, 6.394124
2750.26, 6.312786
2750.76, 6.311067
2751.26, 6.358051
2751.76, 6.317763
2752.26, 6.517992
2752.76, 6.389884
2753.26, 6.389331
2753.76, 6.595211
2754.26, 6.391514
2754.76, 6.391359
2755.26, 6.484990
2755.76, 6.495036
2756.26, 6.477001
2756.76, 6.574993
2757.26, 6.455182
2757.76, 6.493070
2758.26, 6.460222
2758.76, 6.552714
2759.26, 6.425500
2759.76, 6.452201
2760.25, 6.522355
2760.76, 6.629966
2761.26, 6.667917
2761.76, 6.629381
2762.26, 6.661677
2762.76, 6.702271
2763.26, 6.816119
2763.76, 6.736871
2764.26, 6.628891
2764.76, 6.736010
2765.26, 6.750146
2765.76, 6.765416
2766.26, 6.835876
2766.76, 6.726914
2767.26, 6.818085
2767.76, 6.923053
2768.26, 6.834709
2768.76, 6.778293
2769.26, 6.758904
2769.76, 6.817286
2770.26, 6.942722
2770.76, 6.884090
2771.26, 6.913161
2771.76, 6.967210
2772.25, 7.067694
2772.76, 7.007159
2773.26, 7.080969
2773.76, 6.961464
2774.26, 7.024550
2774.76, 7.091538
2775.26, 7.102140
2775.76, 7.115293
2776.26, 7.090740
2776.76, 7.154562
2777.26, 7.159263
2777.76, 7.262726
2778.26, 7.131116
2778.76, 7.195432
2779.26, 7.249606
2779.76, 7.150476
2780.26, 7.114893
2780.76, 7.259317
2781.26, 7.316042
2781.76, 7.249452
2782.26, 7.264140
2782.76, 7.268841
2783.26, 7.308175
2783.76, 7.398025
2784.26, 7.346740
2784.76, 7.401437
2785.26, 7.327594
2785.76, 7.477272
2786.26, 7.391788
2786.76, 7.452938
2787.26, 7.414712
2787.76, 7.499827
2788.26, 7.654453
2788.76, 7.517803
2789.26, 7.599388
2789.76, 7.600433
2790.26, 7.652704
2790.76, 7.667853
2791.26, 7.521768
2791.76, 7.588941
2792.26, 7.541006
2792.76, 7.658726
2793.26, 7.654025
2793.76, 7.536857
2794.26, 7.694984
2794.76, 7.800600
2795.26, 7.790613
2795.76, 7.758685
2796.26, 7.770885
2796.76, 7.597268
2797.26, 7.895887
2797.76, 7.806928
2798.26, 7.821617
2798.76, 7.827547
2799.26, 8.087204
2799.76, 7.819036
2800.26, 7.913311
2800.76, 7.838734
2801.26, 7.960265
2801.76, 7.956422
2802.26, 7.767535
2802.76, 7.952060
2803.26, 7.934607
2803.76, 7.953812
2804.26, 7.969421
2804.76, 7.984786
2805.26, 8.051959
2805.76, 8.019571
2806.26, 7.992775
2806.76, 8.049408
2807.26, 8.076848
2807.76, 8.117748
2808.26, 8.136891
2808.76, 8.194293
2809.26, 8.150504
2809.76, 8.100357
2810.26, 8.266475
2810.76, 8.462891
2811.26, 8.267948
2811.76, 8.256547
2812.26, 8.239311
2812.76, 8.229600
2813.26, 8.326978
2813.76, 8.255597
2814.26, 8.271791
2814.76, 8.203636
2815.26, 8.537470
2815.76, 8.014439
2816.26, 8.411235
2816.76, 8.399098
2817.26, 8.434589
2817.76, 8.376145
2818.26, 8.418948
2818.76, 8.465041
2819.26, 8.436279
2819.76, 8.588018
2820.26, 8.378265
2820.76, 8.489654
2821.26, 8.506463
2821.76, 8.578031
2822.26, 8.585714
2822.76, 8.474907
2823.26, 8.524807
2823.76, 8.513501
2824.26, 8.614995
2824.76, 8.609466
2825.26, 8.594623
2825.76, 8.578613
2826.26, 8.637613
2826.76, 8.660536
